,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1380952380952381,0.14761904761904762,0.1523809523809524,0.1523809523809524,0.14761904761904762,0.1523809523809524,0.1523809523809524,0.14761904761904762,0.14761904761904762,0.13333333333333333
11,0.12857142857142856,0.1380952380952381,0.14761904761904762,0.14761904761904762,0.16666666666666666,0.1619047619047619,0.1761904761904762,0.17142857142857143,0.18095238095238095,0.1619047619047619
16,0.14285714285714285,0.14761904761904762,0.15714285714285714,0.15714285714285714,0.1523809523809524,0.1380952380952381,0.14285714285714285,0.14761904761904762,0.14761904761904762,0.14761904761904762
21,0.15714285714285714,0.1380952380952381,0.1380952380952381,0.12857142857142856,0.13333333333333333,0.13333333333333333,0.12857142857142856,0.1380952380952381,0.14285714285714285,0.14285714285714285
26,0.1619047619047619,0.14761904761904762,0.14285714285714285,0.1380952380952381,0.1380952380952381,0.1380952380952381,0.14285714285714285,0.14761904761904762,0.14761904761904762,0.1523809523809524
31,0.15714285714285714,0.15714285714285714,0.14761904761904762,0.1523809523809524,0.14761904761904762,0.1619047619047619,0.1619047619047619,0.15714285714285714,0.1523809523809524,0.1523809523809524
36,0.15714285714285714,0.1619047619047619,0.1619047619047619,0.17142857142857143,0.17142857142857143,0.1619047619047619,0.1523809523809524,0.14285714285714285,0.14285714285714285,0.1523809523809524
41,0.15714285714285714,0.1619047619047619,0.1619047619047619,0.16666666666666666,0.15714285714285714,0.1523809523809524,0.15714285714285714,0.14761904761904762,0.1380952380952381,0.1380952380952381
46,0.16666666666666666,0.1619047619047619,0.1523809523809524,0.14761904761904762,0.1523809523809524,0.16666666666666666,0.16666666666666666,0.15714285714285714,0.15714285714285714,0.15714285714285714
51,0.1523809523809524,0.1523809523809524,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.16666666666666666,0.1761904761904762,0.1761904761904762,0.17142857142857143,0.1619047619047619
